addr	segment	vma	state	pfn	path
789230bd4000	file	789230ba6000-789230c00000	idle	1	/usr/share/locale-langpack/zh_CN/LC_MESSAGES/coreutils.mo
789230bd5000	file	789230ba6000-789230c00000	idle	1	/usr/share/locale-langpack/zh_CN/LC_MESSAGES/coreutils.mo
789230bd6000	file	789230ba6000-789230c00000	idle	1	/usr/share/locale-langpack/zh_CN/LC_MESSAGES/coreutils.mo
789230bd7000	file	789230ba6000-789230c00000	idle	1	/usr/share/locale-langpack/zh_CN/LC_MESSAGES/coreutils.mo
789230bd8000	file	789230ba6000-789230c00000	idle	1	/usr/share/locale-langpack/zh_CN/LC_MESSAGES/coreutils.mo
789230bd9000	file	789230ba6000-789230c00000	idle	1	/usr/share/locale-langpack/zh_CN/LC_MESSAGES/coreutils.mo
789230bda000	file	789230ba6000-789230c00000	idle	1	/usr/share/locale-langpack/zh_CN/LC_MESSAGES/coreutils.mo
789230bdb000	file	789230ba6000-789230c00000	idle	1	/usr/share/locale-langpack/zh_CN/LC_MESSAGES/coreutils.mo
789230bdc000	file	789230ba6000-789230c00000	idle	1	/usr/share/locale-langpack/zh_CN/LC_MESSAGES/coreutils.mo
789230bdd000	file	789230ba6000-789230c00000	idle	1	/usr/share/locale-langpack/zh_CN/LC_MESSAGES/coreutils.mo
789230bde000	file	789230ba6000-789230c00000	idle	1	/usr/share/locale-langpack/zh_CN/LC_MESSAGES/coreutils.mo
789230bdf000	file	789230ba6000-789230c00000	idle	1	/usr/share/locale-langpack/zh_CN/LC_MESSAGES/coreutils.mo
789230be0000	file	789230ba6000-789230c00000	not_present	0	/usr/share/locale-langpack/zh_CN/LC_MESSAGES/coreutils.mo
789230be1000	file	789230ba6000-789230c00000	not_present	0	/usr/share/locale-langpack/zh_CN/LC_MESSAGES/coreutils.mo
789230be2000	file	789230ba6000-789230c00000	not_present	0	/usr/share/locale-langpack/zh_CN/LC_MESSAGES/coreutils.mo
789230be3000	file	789230ba6000-789230c00000	not_present	0	/usr/share/locale-langpack/zh_CN/LC_MESSAGES/coreutils.mo
789230be4000	file	789230ba6000-789230c00000	not_present	0	/usr/share/locale-langpack/zh_CN/LC_MESSAGES/coreutils.mo
789230be5000	file	789230ba6000-789230c00000	not_present	0	/usr/share/locale-langpack/zh_CN/LC_MESSAGES/coreutils.mo
789230be6000	file	789230ba6000-789230c00000	not_present	0	/usr/share/locale-langpack/zh_CN/LC_MESSAGES/coreutils.mo
789230be7000	file	789230ba6000-789230c00000	not_present	0	/usr/share/locale-langpack/zh_CN/LC_MESSAGES/coreutils.mo
789230be8000	file	789230ba6000-789230c00000	not_present	0	/usr/share/locale-langpack/zh_CN/LC_MESSAGES/coreutils.mo
789230be9000	file	789230ba6000-789230c00000	not_present	0	/usr/share/locale-langpack/zh_CN/LC_MESSAGES/coreutils.mo
789230bea000	file	789230ba6000-789230c00000	not_present	0	/usr/share/locale-langpack/zh_CN/LC_MESSAGES/coreutils.mo
789230beb000	file	789230ba6000-789230c00000	not_present	0	/usr/share/locale-langpack/zh_CN/LC_MESSAGES/coreutils.mo
789230bec000	file	789230ba6000-789230c00000	not_present	0	/usr/share/locale-langpack/zh_CN/LC_MESSAGES/coreutils.mo
789230bed000	file	789230ba6000-789230c00000	not_present	0	/usr/share/locale-langpack/zh_CN/LC_MESSAGES/coreutils.mo
789230bee000	file	789230ba6000-789230c00000	not_present	0	/usr/share/locale-langpack/zh_CN/LC_MESSAGES/coreutils.mo
789230bef000	file	789230ba6000-789230c00000	not_present	0	/usr/share/locale-langpack/zh_CN/LC_MESSAGES/coreutils.mo
789230bf0000	file	789230ba6000-789230c00000	idle	1	/usr/share/locale-langpack/zh_CN/LC_MESSAGES/coreutils.mo
789230bf1000	file	789230ba6000-789230c00000	idle	1	/usr/share/locale-langpack/zh_CN/LC_MESSAGES/coreutils.mo
789230bf2000	file	789230ba6000-789230c00000	idle	1	/usr/share/locale-langpack/zh_CN/LC_MESSAGES/coreutils.mo
789230bf3000	file	789230ba6000-789230c00000	idle	1	/usr/share/locale-langpack/zh_CN/LC_MESSAGES/coreutils.mo
789230bf4000	file	789230ba6000-789230c00000	idle	1	/usr/share/locale-langpack/zh_CN/LC_MESSAGES/coreutils.mo
789230bf5000	file	789230ba6000-789230c00000	idle	1	/usr/share/locale-langpack/zh_CN/LC_MESSAGES/coreutils.mo
789230bf6000	file	789230ba6000-789230c00000	idle	1	/usr/share/locale-langpack/zh_CN/LC_MESSAGES/coreutils.mo
789230bf7000	file	789230ba6000-789230c00000	idle	1	/usr/share/locale-langpack/zh_CN/LC_MESSAGES/coreutils.mo
789230bf8000	file	789230ba6000-789230c00000	idle	1	/usr/share/locale-langpack/zh_CN/LC_MESSAGES/coreutils.mo
789230bf9000	file	789230ba6000-789230c00000	idle	1	/usr/share/locale-langpack/zh_CN/LC_MESSAGES/coreutils.mo
789230bfa000	file	789230ba6000-789230c00000	idle	1	/usr/share/locale-langpack/zh_CN/LC_MESSAGES/coreutils.mo
789230bfb000	file	789230ba6000-789230c00000	idle	1	/usr/share/locale-langpack/zh_CN/LC_MESSAGES/coreutils.mo
789230bfc000	file	789230ba6000-789230c00000	idle	1	/usr/share/locale-langpack/zh_CN/LC_MESSAGES/coreutils.mo
789230bfd000	file	789230ba6000-789230c00000	idle	1	/usr/share/locale-langpack/zh_CN/LC_MESSAGES/coreutils.mo
789230bfe000	file	789230ba6000-789230c00000	idle	1	/usr/share/locale-langpack/zh_CN/LC_MESSAGES/coreutils.mo
789230bff000	file	789230ba6000-789230c00000	idle	1	/usr/share/locale-langpack/zh_CN/LC_MESSAGES/coreutils.mo
789230c00000	file	789230c00000-7892319ec000	idle	1	/usr/lib/locale/locale-archive
789230c01000	file	789230c00000-7892319ec000	idle	1	/usr/lib/locale/locale-archive
789230c02000	file	789230c00000-7892319ec000	idle	1	/usr/lib/locale/locale-archive
789230c03000	file	789230c00000-7892319ec000	idle	1	/usr/lib/locale/locale-archive
789230c04000	file	789230c00000-7892319ec000	idle	1	/usr/lib/locale/locale-archive
789230c05000	file	789230c00000-7892319ec000	idle	1	/usr/lib/locale/locale-archive
789230c06000	file	789230c00000-7892319ec000	idle	1	/usr/lib/locale/locale-archive
789230c07000	file	789230c00000-7892319ec000	idle	1	/usr/lib/locale/locale-archive
789230c08000	file	789230c00000-7892319ec000	idle	1	/usr/lib/locale/locale-archive
789230c09000	file	789230c00000-7892319ec000	idle	1	/usr/lib/locale/locale-archive
789230c0a000	file	789230c00000-7892319ec000	idle	1	/usr/lib/locale/locale-archive
789230c0b000	file	789230c00000-7892319ec000	idle	1	/usr/lib/locale/locale-archive
789230c0c000	file	789230c00000-7892319ec000	idle	1	/usr/lib/locale/locale-archive
789230c0d000	file	789230c00000-7892319ec000	idle	1	/usr/lib/locale/locale-archive
789230c0e000	file	789230c00000-7892319ec000	idle	1	/usr/lib/locale/locale-archive
789230c0f000	file	789230c00000-7892319ec000	idle	1	/usr/lib/locale/locale-archive
789230c10000	file	789230c00000-7892319ec000	not_present	0	/usr/lib/locale/locale-archive
789230c11000	file	789230c00000-7892319ec000	not_present	0	/usr/lib/locale/locale-archive
